Date,Not indexed,Indexed,Impressions
2025-08-25,,,46518
2025-08-26,38099,15371,46767
2025-08-27,37863,15363,45934
2025-08-28,37863,15363,44454
2025-08-29,37863,15363,43839
2025-08-30,37863,15363,43720
2025-08-31,37781,15354,43796
2025-09-01,37781,15354,44995
2025-09-02,37781,15354,43801
2025-09-03,37685,15340,43912
2025-09-04,37685,15340,43984
2025-09-05,37685,15340,46895
2025-09-06,37685,15340,45465
2025-09-07,37516,15330,46977
2025-09-08,37516,15330,51214
2025-09-09,37516,15330,43426
2025-09-10,36980,15346,40674
2025-09-11,36980,15346,35039
2025-09-12,36980,15346,27680
2025-09-13,36980,15346,24441
2025-09-14,36918,15359,25780
2025-09-15,36918,15359,26222
2025-09-16,36918,15359,26262
2025-09-17,36611,15325,25081
2025-09-18,36611,15325,24710
2025-09-19,36611,15325,25038
2025-09-20,36611,15325,24534
2025-09-21,37459,14574,24524
2025-09-22,37459,14574,24524
2025-09-23,37459,14574,25080
2025-09-24,37822,13605,25327
2025-09-25,37822,13605,23237
2025-09-26,37822,13605,24480
2025-09-27,37822,13605,24226
2025-09-28,37738,13324,25516
2025-09-29,37738,13324,26659
2025-09-30,37738,13324,28435
2025-10-01,37331,13246,27086
2025-10-02,37331,13246,24529
2025-10-03,37331,13246,21662
2025-10-04,37331,13246,22339
2025-10-05,36953,13252,22976
2025-10-06,36953,13252,24538
2025-10-07,36953,13252,24598
2025-10-08,36604,13254,24664
2025-10-09,36604,13254,24315
2025-10-10,36604,13254,23820
2025-10-11,36604,13254,23978
2025-10-12,36753,13312,24937
2025-10-13,36753,13312,25876
2025-10-14,36753,13312,26985
2025-10-15,36455,13365,29083
2025-10-16,36455,13365,28257
2025-10-17,36455,13365,27707
2025-10-18,36455,13365,26489
2025-10-19,36787,13347,25270
2025-10-20,36787,13347,25244
2025-10-21,36787,13347,25684
2025-10-22,36845,13204,25888
2025-10-23,36845,13204,34053
2025-10-24,36845,13204,22297
2025-10-25,36845,13204,24809
2025-10-26,36817,13125,23047
2025-10-27,36817,13125,23582
2025-10-28,36817,13125,24982
2025-10-29,36746,12975,24063
2025-10-30,36746,12975,23382
2025-10-31,36746,12975,23399
2025-11-01,36746,12975,23441
2025-11-02,36610,12958,25778
2025-11-03,36610,12958,25111
2025-11-04,36610,12958,24497
2025-11-05,36601,12874,23625
2025-11-06,36601,12874,24435
2025-11-07,36601,12874,23176
2025-11-08,36601,12874,23446
2025-11-09,36617,13021,24468
2025-11-10,36617,13021,24205
2025-11-11,36617,13021,23662
2025-11-12,36522,13002,31369
2025-11-13,36522,13002,28464
2025-11-14,36522,13002,27655
2025-11-15,36522,13002,25242
2025-11-16,36622,13000,26790
2025-11-17,36622,13000,25789
2025-11-18,36622,13000,25400