From Path,To Path
"/dr-bronner-pure-castile-liquid-soap-cherry-blossom","/body/"
"/people4ocean-stick-it-coloured-zinc-spf-50-egyptian-blue-25g/","/body/"
"/multi-amber-necklace-33-cm-by-amber-love/","/household/"
"/mingle-livs-fave-salted-caramel-all-natural-sweet-topper-130g/","/body/"
"/brands/A'kin.html","/about-us/"
"/brands/A'kin-pureBaby.html","/about-us/"
"/amber-love-adults-necklace-cognac-love-46cm/","/pet/"
"/radico-colour-me-organic-hair-colour-powder-brown-100g/","/hair/"
"/blue-dinosaur-vegan-protein-bar-pb-caramel-choc-12-x-45g/","/sports/"
"/carob-farm-carob-koala-salted-caramel-50-x-15g/","/body/"
"/radico-colour-me-organic-hair-colour-powder-soft-black-100g/","/hair/"
"/martin-pleasance-vital-all-in-one-greens-1kg/","/gravy-sauce/"
"/loving-earth-maca-powder-500g/","/household/"
"/dr-organic-tea-tree-nail-solution-10ml/","/organic-tea/"
"/health-guru-cauliflower-puffs-bangkok-sriracha-6-x-56g/","/breakfast/"
"/amber-moon-love-33cm-by-amber-love/","/pet/"
"/naturally-good-peanut-mylk-partyz-55-less-sugar-10-x-45g/","/organic-sugar/"
"/amber-love-adults-necklace-100-baltic-amber-mixed-46cm/","/pet/"
"/switch-nutrition-plant-protein-bar-cookies-and-cream-12-x-60g/","/skin/"
"/mama-nose-baby-bamboo-wipes-eco-friendly-baby-water-wipes-60-wipes/","/baby-and-kids/"
"/grass-roots-organic-hemp-hearts-hulled-hemp-seeds-500g/","/super-grass/"
"/dr-organic-rose-otto-cleanser-150ml/","/body/"
"/health-guru-cauliflower-puffs-sea-salt-6-x-56g/","/body/"
"/lotus-sesame-seeds-hulled-organic-200-on-sale-bb-09-09-24/","/snacks/"
"/health-guru-cauliflower-puffs-sea-salt-12x56g/","/body/"
"/ora-health-curcumin-biocomplex-90-caps/","/powders-caps/"
"/great-aussie-wipes-tradie-extra-large-textured-wipes-80pk/","/dry-food/"
"/amazing-oils-magnesium-flex-lotion-with-msm-turmeric-black-pepper-125ml/","/body/"
"/ecoegg-laundry-egg-refill-pellets-50-washes-tropical-breeze/","/baby-and-kids/"
"/great-aussie-wipes-grease-grime-jumbo-heavy-duty-wipes-60pk/","/household/"
"/great-aussie-wipes-bbq-x-large-wipes-10pk/","/dry-food/"
"/switch-nutrition-plant-protein-bar-choc-rocky-road-12-x-60g/","/snacks/"
"/great-aussie-wipes-bbq-x-large-wipes-30pk/","/dry-food/"
"/redmond-earthpaste-toothpaste-with-silver-spearmint-charcoal-113g/","/body/"
"/wild-herbal-body-wash-herbal-500ml/","/baby-and-kids/"
"/keto-naturals-cookies-buttery-coconut-8-x-64g/","/organic-coconut-oil/"
"/switch-nutrition-plant-protein-bar-choc-peanut-butter-12-x-60g/","/body/"
"/ecoegg-washing-machine-detox-tablets-6pk/","/baby-and-kids/"
"/udos-choice-udos-3-6-9-oil-blend-941ml/","/organic-coconut-oil/"
"/great-aussie-wipes-hand-face-large-wipes-40pk/","/skin/"
"/switch-nutrition-plant-protein-bar-choc-fudge-brownie-12-x-60g/","/snacks/"
"/great-aussie-wipes-vinegar-x-large-natural-cleaning-wipes-50pk/","/household/"
"/miessence-balancing-moisturiser-50ml/","/hair/"
"/loving-earth-maqui-powder-150g/","/maqui-berry/"
"/flordis-prospan-menthol-chesty-cough-relief-200ml/","/baby-and-kids/"
"/ecoegg-laundry-egg-refill-pellets-50-washes-fresh-white-lights/","/baby-and-kids/"