"BC SKU","Product Name","Brand","Stock Level","Price","BC Product ID","Has Inventory?","Notes"
"UN - AM06","Auromere Neem Picks 100 Picks","Auromere","0","6.95","659","NO",""
"UN - AC73","Amazonia Greens 120g","Amazonia","0","34.95","606","NO",""
"UN - AC74","Amazonia Greens 300g","Amazonia","0","74.95","607","NO",""
"UN - EH07","Alaffia Lavender Body Wash 950 ml","Alaffia","0","34.95","1257","NO",""
"UN - EH08","Alaffia Vanilla Mint Body Wash 950ml","Alaffia","0","34.95","1258","NO",""
"UN - EH10","Alaffia Lavender Body Lotion 950ml","Alaffia","0","34.95","1261","NO",""
"UN - EH11","Alaffia Vanilla Body Lotion 950ml","Alaffia","0","34.95","1262","NO",""
"UN - EH16","Alaffia Body Lotion Purely Coconut 950ml","Alaffia","0","34.95","1264","NO",""
"UN - EH04","Alaffia Lavender Conditioner 950ml","Alaffia","0","34.95","1265","NO",""
"UN - EH05","Alaffia Vanilla Mint Conditioner 950ml","Alaffia","0","34.95","1266","NO",""
"UN - EH14","Alaffia Coconut Conditioner 950ml","Alaffia","0","34.95","1268","NO",""
"UN - EH03","Alaffia Unscented Shampoo 950 ml","Alaffia","0","34.95","1271","NO",""
"UN - EH13","Alaffia Coconut Shampoo Purely Coconut 950ml","Alaffia","0","34.95","1272","NO",""
"UN - GK04","Giovanni 2Chic Brazilian Keratin/Argan Oil Blow Out Styling Mist 118ml","Giovanni","0","17.95","1342","NO",""
"UN - GV25","Giovanni Smooth As Silk Extreme Protein Hair Infusion 150ml","Giovanni","0","18.95","1347","NO",""
"UN - GV98","Giovanni Hot Chocolate Sugar Scrub 260g","Giovanni","0","24.95","1349","NO",""
"UN - GV36","Giovanni 50/50 Balanced Conditioner 1 Litre","Giovanni","0","49.95","1356","NO",""
"UN - GV33","Giovanni 50/50 Balanced Shampoo 1 Litre","Giovanni","0","49.95","1360","NO",""
"UN - GW02","Giovanni Wellness System Conditioner With Chinese Botanicals 250ml","Giovanni","0","21.95","1368","NO",""
"UN - NT19","Natracare Incontinence Pads 20 Pads","Natracare","0","10.99","1712","NO",""
"UN - NT06","Natracare Super Ultra Wings Pads 12 Pads","Natracare","0","8.49","1722","NO",""
"UN - NT22","Natracare Super Plus Ultra Pads 12 Pads","Natracare","0","8.49","1723","NO",""
"UN - NT04","Natracare Night Time Pads 10 Pads","Natracare","0","10.69","1724","NO",""
"UN - NT23","Natracare Longr Ultra Wings Pads 10 Pads","Natracare","0","8.49","1726","NO",""
"UN - NS52","Naturally Sweet Xylitol Icing Sugar 500gr","Naturally Sweet","0","19.95","1787","NO",""
"UN - NO31","Nirvana Organics Herb Blend Grinder 90g","Nirvana Organics","0","8.95","1856","NO",""
"UN - PT09","Protein Supplies Australia Whey Protein Isolate (WPI) 3kg","Protein Supplies","0","146.95","2223","NO",""
"UN - PT08","Protein Supplies Australia Whey Protein Concentrate (WPC) 3kg","Protein Supplies","0","126.95","2222","NO",""
"UN - AC84","Amazonia Vitamin C 120G","Amazonia","0","35.95","6354","NO",""
"UN - OG36","Organic Times Chocolate (Organic) Little Gems 500g","Organic Times","0","33.95","6527","NO",""
"UN - TM58","Tom Organic Maternity Pads Ultra Absorbent For Post Birth","Tom Organic","0","32.97","6668","NO",""
"UN - AF01","Alaffia African Black Soap Peppermint 476ml","Alaffia","0","24.95","6706","NO",""
"UN - PT60","Protein Supplies Australia Raw Pure Pea Protein 3kg","Protein Supplies","0","119.95","6752","NO",""
"UN - PT69","Protein Supplies Australia Chocolate Whey Protein Isolate (WPI) 3kg","Protein Supplies","0","209.95","6753","NO",""
"UN - DC163","Dr Organic Dead Sea Mineral Roll On Deodorant 50ml","Dr Organic","0","14.95","6918","NO",""
"UN - AF02","Alaffia African Black Soap Tangerine Citrus 476ml","Alaffia","0","19.95","7757","NO",""
"UN - EH21","Alaffia Lip Balm Coconut Mint 4.25g","Alaffia","0","6.95","7758","NO",""
"UN - AC97","Amazonia Greens 600g","Amazonia","0","134.95","7764","NO",""
"UN - AF03","Alaffia African Black Soap Lavender Ylang Ylang 476ml","Alaffia","0","19.95","7863","NO",""
"UN - EH22","Alaffia Lip Balm Coconut Pineapple 4.25g","Alaffia","0","4.95","7864","NO",""
"UN - DC17","Dr Organic Lavender Conditioner 265ml.","Dr Organic","0","14.95","8171","NO",""
"UN - GK52","Giovanni 2Chic Ultra Luxurious Shampoo 44ml","Giovanni","0","4.95","8237","NO",""
"UN - GK64","Giovanni 2Chic Pineapple & Ginger Hair Mask 150ml","Giovanni","0","16.95","8244","NO",""
"UN - GK65","Giovanni 2Chic Pineapple & Ginger Anti Frizz Hair Serum 81ml","Giovanni","0","19.95","8245","NO",""
"UN - EH23","Alaffia Lip Balm Purely Coconut 4.25g","Alaffia","0","6.95","9010","NO",""
"UN - ZM02","Bamboo Whisk 1 By Zen Green Tea","Bamboo","0","34.95","9231","NO",""
"UN - NT32","Natracare Panty Liners Long 16","Natracare","0","6.99","9239","NO",""
"UN - NR43","Nutritionist Choice Instant Sea Vegetable Soup Pack 4x 20G","Nutritionist Choice","0","9.95","9325","NO",""
"UN - SD24","Schmidt's Deodorant Stick Lavender & Sage 75g","Schmidt's","0","17.95","9373","NO",""
"UN - SD22","Schmidt's Deodorant Stick Cedarwood & Juniper 75g","Schmidt's","0","19.95","9375","NO",""
"UN - SD21","Schmidt's Deodorant Stick Bergamot & Lime 75g","Schmidt's","0","17.95","9376","NO",""
"UN - PT104","Protein Supplies Australia Blood Orange BCAA 200g","Protein Supplies","0","42.95","9400","NO",""
"UN - OG56","Organic Times Chocolate Gems 200g","Organic Times","0","16.95","9417","NO",""
"UN - OG60","Organic Times Cocoa Butter Buttons 200g","Organic Times","0","19.95","9423","NO",""
"UN - PO161","Planet Organic Maple Syrup 250ml","Planet Organic","0","14.95","9431","NO",""
"UN - AF21","Alaffia Deodorant Coconut Reishi Bergamot & Charcoal 75g","Alaffia","0","14.95","9678","NO",""
"UN - AF22","Alaffia Deodorant Coconut Reishi Lavender & Charcoal 75","Alaffia","0","14.95","9680","NO",""
"UN - AF24","Alaffia Deodorant Coconut Reishi Coconut & Charcoal 75g","Alaffia","0","14.95","9683","NO",""
"UN - BR06","Bragg Book ACV","Bragg","0","24.95","9794","NO",""
"UN - BR09","Bragg Healthy Lifestyle Book","Bragg","0","24.95","9796","NO",""
"UN - BR13","Bragg ACV & Honey Blend 473ml (dark bottle)","Bragg","0","23.95","9799","NO",""
"UN - EH17","Alaffia Unscented Shea Butter 312g","Alaffia","0","34.95","9829","NO",""
"UN - AO72","Amazing Oils Magnesium Recovery Bath Flakes 2kg","Amazing","0","49.95","10728","NO",""
"UN - SD27","Schmidt's Charcoal & Magnesium Stick 75g","Schmidt's","0","17.95","10846","NO",""
"UN - EQ27","Ecobud Replacement Filter White Pete Evans' Little Penguin","Ecobud","0","15.95","10956","NO",""
"UN - AF31","Alaffia Deodorant Neem Turmeric Lemongrass & Charcoal 75g","Alaffia","0","14.95","11012","NO",""
"UN - DC187","Dr Organic Hemp Oil Intensive Eye Serum 15ml","Dr Organic","0","19.95","11042","NO",""
"UN - DC190","Dr Organic Intensive Conditioning Hair Mask Organic Hemp Oil 200ml","Dr Organic","0","32.95","11049","NO",""
"UN - DC16","Dr Organic Lavender Shampoo 265ml","Dr Organic","0","14.95","11051","NO",""
"UN - CH142","Cheeki Stainless Steel Bottle Matte Black 750ml","Cheeki","0","24.95","11113","NO",""
"UN - CH153","Cheeki Stainless Steel Bottle Pistachio 1L","Cheeki","0","29.95","11117","NO",""
"UN - DC226","Dr Organic Skin Lotion Cocoa Butter 200ml","Dr Organic","0","17.95","11351","NO",""
"UN - DC227","Dr Organic Wonder Oil Cocoa Butter 150ml","Dr Organic","0","24.95","11352","NO",""
"UN - DC229","Dr Organic Day Cream Cocoa Butter 50ml","Dr Organic","0","14.95","11354","NO",""
"UN - CH124","Cheeki Stainless Steel Bottle Teal 'Thirsty Max' 1.6L","Cheeki","0","39.95","11360","NO",""
"UN - AF32","Alaffia Deodorant Neem Turmeric Mandarin & Charcoal 75g","Alaffia","0","14.95","11378","NO",""
"UN - AR119","Acure Brilliantly Brightening Eye Contour Gel 14.7ml","Acure","0","41.95","11394","NO",""
"UN - AR156","Acure Seriously Soothing Cloud Cream 50ml","Acure","0","41.95","11411","NO",""
"UN - AR162","Acure The Essentials Marula Oil 30ml","Acure","0","32.95","11413","NO",""
"UN - AR163","Acure The Essentials Rosehip Oil 30ml","Acure","0","26.95","11414","NO",""
"UN - AR172","Acure Incredibly Clear Acne Spot 14.7ml","Acure","0","28.95","11417","NO",""
"UN - AR174","Acure Incredibly Clear Mattifying Moisturiser 50ml","Acure","0","38.95","11419","NO",""
"UN - AS11","Alchemy Cordials Turmeric Unsweetened 300ml","Alchemy","0","14.95","11448","NO",""
"UN - EH44","Alaffia Body Lotion Coconut Lime 950ml","Alaffia","0","34.95","11559","NO",""
"UN - NU25","Nutribiotic Deodorant Tea Tree 75g","Nutribiotic","0","12.95","11866","NO",""
"UN - WN56","Wotnot Tan Application Mitt x 1 Glove","Wotnot","0","9.95","12009","NO",""
"UN - WN57","Wotnot Body Exfoliating Mitt 1 glove","Wotnot","0","9.95","19541","NO",""
"UN - DC285","Dr Organic Day Cream Organic Shea Butter 50ml","Dr Organic","0","14.95","19607","NO",""
"UN - DC264","Dr Organic Travel Size Body Wash Organic Rose Otto 75ml","Dr Organic","0","8.95","19597","NO",""
"UN - DC281","Dr Organic Body Scrub Organic Shea Butter 200ml","Dr Organic","0","17.95","19603","NO",""
"UN - DC286","Dr Organic Night Cream Organic Shea Butter 50ml","Dr Organic","0","14.95","19608","NO",""
"UN - WEL11","Weleda Sensitive Skin Body Wash Almond 200ml","Weleda","0","19.95","19658","NO",""
"UN - WEL31","Weleda Bath Milk Citrus 200ml","Weleda","0","29.95","19667","NO",""
"UN - WEL47","Weleda Eye And Lip Cream Evening Primrose 10ml","Weleda","0","43.95","19690","NO",""
"UN - WEL71","Weleda Reviving Bath Milk Pine 200ml","Weleda","0","29.95","19706","NO",""
"UN - WEL86","Weleda Pomegranate Firming Day Cream 30ml","Weleda","0","42.95","19715","NO",""
"UN - WEL88","Weleda Pomegranate Firming Eye Cream 10ml","Weleda","0","42.95","19717","NO",""
"UN - WEL126","Weleda Soothing Day Cream Wild Rose 30ml","Weleda","0","39.95","19731","NO",""
"UN - WEL127","Weleda Soothing Night Cream Wild Rose 30ml","Weleda","0","39.95","19732","NO",""
"UN - WEL128","Weleda Soothing Eye Cream Wild Rose 10ml","Weleda","0","37.95","19733","NO",""
"UN - WEL132","Weleda Gentle Cleansing Milk Witch Hazel 100ml","Weleda","0","28.95","19736","NO",""
"UN - WEL133","Weleda Refining Toner Witch Hazel 100ml","Weleda","0","28.95","19737","NO",""
"UN - WEL183","Weleda Nipple Care Cream Mother 36ml","Weleda","0","33.95","19758","NO",""
"UN - WEL196","Weleda Calendula Baby Oil 200ml","Weleda","0","29.95","19764","NO",""
"UN - WEL201","Weleda Calendula Weather Protection Cream Baby 30ml","Weleda","0","17.95","19769","NO",""
"UN - WEL233","Weleda Arnica 6x Oral Spray 30ml","Weleda","0","25.95","19780","NO",""
"UN - WEL251","Weleda Organic/ Bio Birch Juice Liquid Food Supplement 200ml","Weleda","0","37.95","19793","NO",""
"UN - HM41","Essential Hemp 100 capsules of Hemp Seed Oil","Essential","0","19.95","20050","NO",""
"UN - HM42","Essential Hemp 100 capsules of Hemp Seed Oil with Turmeric","Essential","0","24.95","20051","NO",""
"UN - NL73","Niulife Coconut Shell Bowl Polished 1","Niulife","0","12.95","19907","NO",""
"UN - DC314","Dr Organic Men's Hair Style Putty Organic Ginseng 75g","Dr Organic","0","19.95","23780","NO",""
"UN - RK19","Retrokitchen 100% Biodegradable Dishcloth Fish 1","Retrokitchen","0","7.95","23687","NO",""
"UN - RK26","Retrokitchen 100% Biodegradable Dishcloth Penguin 1","Retrokitchen","0","7.95","23694","NO",""
"UN - RK27","Retrokitchen 100% Biodegradable Dishcloth Poinciana Leaves 1","Retrokitchen","0","7.95","23695","NO",""
"UN - RK29","Retrokitchen 100% Biodegradable Dishcloth Seagulls 1","Retrokitchen","0","7.95","23697","NO",""
"UN - VR123","Vrindavan Hand Sanitizer Tea Tree & Oregano 60Ml","Vrindavan","0","9.95","23716","NO",""
"UN - VR126","Vrindavan Hand Sanitizer Refill Tea Tree & Oregano 1L","Vrindavan","0","99.95","23722","NO",""
"UN - WEL292","Weleda Refining Lotion Willow Bark 30ml","Weleda","0","27.95","23727","NO",""
"UN - WEL293","Weleda S.O.S. Spot Treatment Willow Bark 10ml","Weleda","0","22.95","23728","NO",""
"UN - AR317","Acure Coconut & Argan Shampoo Bar 140g","Acure","0","17.95","23740","NO",""
"UN - AR320","Acure Unicorn Shimmer Shampoo 236ml","Acure","0","19.95","23743","NO",""
"UN - AR321","ACURE Unicorn Shimmer Conditioner 236ml","ACURE","0","19.95","23744","NO",""
"UN - AR323","Acure Wave & Curl Colour Wellness Conditioner 236ml","Acure","0","19.95","23746","NO",""
"UN - BTF23","Biotuff Compostable Displayosable Gloves Medium 200","Biotuff","0","29.95","23748","NO",""
"UN - BTF24","Biotuff Compostable Displayosable Gloves Large 200","Biotuff","0","29.95","23749","NO",""
"UN - DC310","Dr Organic Men's Hair & Body Wash Organic Ginseng 250ml","Dr Organic","0","12.95","23776","NO",""
"UN - DC312","Dr Organic Men's Shave & Beard Oil Organic Ginseng 50ml","Dr Organic","0","16.95","23778","NO",""
"UN - MAC27","Macro Mike Protein Donut Baking Mix Maple Cinnamon White Chocolate Chip 300g","MACRO MIKE","0","19.95","28193","NO",""
"UN - EU12","Eucoclean Antibacterial Hand Sanitiser Instant Hospital Strength 125ml","Eucoclean","0","12.95","29129","NO",""
"UN - EU13","Eucoclean Antibacterial Hand Sanitiser Instant Hospital Strength 5L","Eucoclean","0","99.95","29130","NO",""
"UN - AR324","Acure Ionic Blonde Colour Wellness Shampoo 236ml","Acure","0","23.95","29164","NO",""
"UN - AR325","Acure Ionic Blonde Colour Wellness Conditioner 236ml","Acure","0","24.95","29165","NO",""
"UN - MAC62","Macro Mike Powdered Almond Butter Creamy Salted Caramel 180g","MACRO MIKE","0","19.95","29223","NO",""
"UN - SUG11","Sugarwrap Eco Clingwrap 100% Compostable 30m x 33cm 1","Sugarwrap","0","8","31362","NO",""
"UN - AC113","Amazonia Protein Isolate Chocolate & Coconut 12 x 30g","Amazonia","0","54","32106","NO",""
"UN - TM81","Tooshies By Tom Nappies With Organic Bamboo Size 1 Newborn 3 5kg 2 x 52","Tooshies","0","79.9","32158","NO",""
"UN - TM82","Tooshies BY Tom Nappies With Organic Bamboo Size 2 Infant 4 8kg 2 x 48","Tooshies","0","79.9","32159","NO",""
"UN - TM84","Tooshies By Tom Nappies With Organic Bamboo Size 4 Toddler 10-15kg 2 x 36","Tooshies","0","79.9","32161","NO",""
"UN - TM85","Tooshies By Tom Nappies With Organic Bamboo Size 5 Walker 13 18kg 2 x 32","Tooshies","0","79.9","32162","NO",""
"UN - TM86","Tooshies By Tom Nappies With Organic Bamboo Size 6 Junior 16+ kg 2 x 30","Tooshies","0","79.9","32163","NO",""
"UN - AC111","Amazonia Protein Paleo Fermented Salted Caramel 500G","Amazonia","0","45.95","32580","NO",""
"UN - AC112","Amazonia Protein Paleo Fermented Salted Caramel 1Kg","Amazonia","0","75.95","32581","NO",""
"UN - AE93","Alter Eco Chocolate (Organic) Superdark Cacao Truffles 108g","Alter","0","10.95","32593","NO",""
"UN - AO14","Amazing Oils Baby Calm Gel Roll On 20ml","Amazing","0","22.95","32602","NO",""
"UN - AO24","Amazing Oils Magnesium Gel + Msm Natural Relief Roll On 60ml","Amazing","0","22.95","32606","NO",""
"UN - AR232","Acure Deodorant Stick Fragrance Free 63g","Acure","0","14.95","32610","NO",""
"UN - AR311","Acure Brightening Glow Lotion 236ml","Acure","0","26.95","32615","NO",""
"UN - PC60","Book A Family Guide to Waste Free Living by Lauren & Oberon Carter x 1","Book","0","34.95","33364","NO",""
"UN - AR312","Acure Seriously Soothing Solid Serum 3in1 50ml","Acure","0","34.95","32616","NO",""
"UN - AR315","Acure Radically Rejuvenating Marula & Rose Serum Stick 28g","Acure","0","32.95","32619","NO",""
"UN - AR316","Acure Seriously Soothing Blue Tansy Serum Stick 28.34g","Acure","0","32.95","32620","NO",""
"UN - AR342","Acure Resurfacing Dewy All Day Moisturizer 30ml","Acure","0","32.95","32621","NO",""
"UN - AR343","Acure Resurfacing Overnight Glycolic Treatment 30ml","Acure","0","48.95","32622","NO",""
"UN - AR344","Acure Resurfacing Inter Gly Lactic Peel Pads 10 Pads","Acure","0","34.95","32623","NO",""
"UN - CH202","Cheeki Lunch Box Double Stacker 1L","Cheeki","0","39.95","32731","NO",""
"UN - CH222","Cheeki Stainless Steel Straws Straight Silver & Gold + Cleaning Brush x 2","Cheeki","0","9.95","32734","NO",""
"UN - CH224","Cheeki Stainless Steel Straws Straight Rose Gold & Black + Brush x 2","Cheeki","0","9.95","32736","NO",""
"UN - CH226","Cheeki Stainless Steel Straws Straight All Colours + Cleaning Brush x 4","Cheeki","0","19.95","32737","NO",""
"UN - CH232","Cheeki Insulated Tumbler Ocean With Stainless Steel Straw 500ml","Cheeki","0","34.95","32738","NO",""
"UN - CH235","Cheeki Insulated Tumbler Pink With Stainless Steel Straw 500ml","Cheeki","0","34.95","32740","NO",""
"UN - CH236","Cheeki Insulated Tumbler Rainbow Pearl with Stainless Steel Straw 500ml","Cheeki","0","39.95","32741","NO",""
"UN - CH241","Cheeki Stainless Steel Bottle Topaz 500ml","Cheeki","0","19.95","32742","NO",""
"UN - CH245","Cheeki Stainless Steel Bottle Ocean Sports Lid 1L","Cheeki","0","29.95","32743","NO",""
"UN - CH253","Cheeki Insulated Wine Tumbler Pink Champagne with Stainless Steel Straw 220ml","Cheeki","0","19.95","32744","NO",""
"UN - CH254","Cheeki Insulated Wine Tumbler Sapphire Blue with Stainless Steel Straw 220ml","Cheeki","0","19.95","32745","NO",""
"UN - CH255","Cheeki Insulated Wine Tumbler Spirit White With Stainless Steel Straw 220ml","Cheeki","0","19.95","32746","NO",""
"UN - CH257","Cheeki Insulated Wine Tumbler Soft Gold With Stainless Steel Straw 320ml","Cheeki","0","19.95","32748","NO",""
"UN - CH258","Cheeki Insulated Wine Tumbler Spirit White With Stainless Steel Straw 320ml","Cheeki","0","28.95","32749","NO",""
"UN - CH261","Cheeki Stainless Steel Bottle Pink 500ml","Cheeki","0","19.95","32750","NO",""
"UN - CH262","Cheeki Stainless Steel Bottle Pink 750ml","Cheeki","0","29.95","32751","NO",""
"UN - CH272","Cheeki Kids Bottle Insulated Orca 400ml","Cheeki","0","39.95","32755","NO",""
